time,I_cell,T_stack,P_ano,P_cat,m_dot_Osep,m_dot_Hsep,ARR1,ARR2,ARR3,ARR4,ARR5,ARR6,a1_upper,a1_lower,a2_upper,a2_lower,a3_upper,a3_lower,a4_upper,a4_lower,a5_upper,a5_lower,a6_upper,a6_lower,activation_arr1,activation_arr2,activation_arr3,activation_arr4,activation_arr5,activation_arr6,Fault_type
0.0,1.0946464198534802e-09,298.0,108500.000000006,1105000.0,0.017000000000012,0.0100000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0317417592305032,-0.0317417592305032,0.0001702524493808,-0.0001702524493808,0.0001002524493807,-0.0001002524493807,0.0170422096706705,-0.0170422096706705,0.0101252096706602,-0.0101252096706602,0.0045332558520841,-0.0045332558520841,0,0,0,0,0,0,0
0.2,22.2407339140361,301.550295867987,108496.888601991,1105003.11139801,0.0169937772039826,0.0100062227960174,-0.254582815719339,-4.25970997626179e-06,4.259709976435e-06,-8.30910744902652e-06,-8.30910744906966e-06,-16.2210809951393,0.0405474530500447,-0.0405474530500447,0.0001719713042041,-0.0001719713042041,0.0001021888930728,-0.0001021888930728,0.0171795334093426,-0.0171795334093426,0.0102750474521336,-0.0102750474521336,16.8373285024947,-16.8373285024947,1,0,0,0,0,0,0
0.4,22.982304427523,304.259955594643,108496.669622003,1105003.330378,0.0169933392440056,0.0100066607559944,-0.14255107470142,-3.67024746382464e-07,6.72162681018613e-06,-6.119452195404e-05,-6.11945219540978e-05,-1.46361228260031,0.039728797964753,-0.039728797964753,0.0001699917362517,-0.0001699917362517,0.0001000275578313,-0.0001000275578313,0.0169497031755843,-0.0169497031755843,0.010046097955889,-0.010046097955889,10.3619939362332,-10.3619939362332,1,0,0,0,0,0,0
0.6,23.5340768579678,306.256253930845,108496.588588706,1105003.41141129,0.0169931771774127,0.0100068228225852,-0.10539348847321,-5.53835608310111e-06,-3.55930625404099e-07,-2.10413547514927e-05,-2.1041354751509e-05,3.48058846108691,0.0402509255040266,-0.0402509255040266,0.0001713054155164,-0.0001713054155164,0.0001013591453466,-0.0001013591453466,0.0171010565720509,-0.0171010565720509,0.0101977772682718,-0.0101977772682718,11.1906561558539,-11.1906561558539,1,0,0,0,0,0,0
0.8,23.9434548624825,307.727033434992,108496.528459285,1105003.47154072,0.0169930569185691,0.0100069430814325,-0.0564261733161071,-3.82016229690709e-07,3.13757809482406e-06,-4.40622215004767e-05,-4.40622215004917e-05,12.0177056553071,0.0399878559394106,-0.0399878559394106,0.0001703532719634,-0.0001703532719634,0.0001003994327302,-0.0001003994327302,0.0170239231003612,-0.0170239231003612,0.0101208856371204,-0.0101208856371204,7.18248311752392,-7.18248311752392,1,0,0,0,0,0,0
1.0,24.2465859025009,308.810655683157,108496.483931221,1105003.51606878,0.0169929678624413,0.0100070321375565,-0.0356924729390337,-2.0221078003143e-06,4.60323574768371e-07,-3.41118952522497e-05,-3.4111895252253e-05,14.4567910549847,0.0398501604038015,-0.0398501604038015,0.0001698496741706,-0.0001698496741706,9.98978046364346e-05,-9.98978046364346e-05,0.0169825328529093,-0.0169825328529093,0.0100796744815376,-0.0100796744815376,6.06058592910198,-6.06058592910198,1,0,0,0,0,0,0
1.2,24.4707335488951,309.609044049681,108496.451003152,1105003.54899685,0.0169929020063036,0.0100070979936972,-0.0280956168232482,-2.35178912392305e-06,-5.23493145617351e-07,-1.38283532279191e-05,-1.38283532279179e-05,15.5753918023319,0.0397269095206598,-0.0397269095206598,0.0001694634029035,-0.0001694634029035,9.95128630226039e-05,-9.95128630226039e-05,0.0169448549519983,-0.0169448549519983,0.0100421290173226,-0.0100421290173226,5.02947089577454,-5.02947089577454,1,0,0,0,0,1,0
1.4,24.6363145922944,310.197284390374,108496.426677578,1105003.57332242,0.0169928533551554,0.0100071466448452,-0.028626088558277,-2.51231398769542e-06,-1.08023217983469e-06,1.21666415963118e-05,1.21666415962751e-05,15.3705738373535,0.0399730975893356,-0.0399730975893356,0.0001703036543067,-0.0001703036543067,0.0001003565896067,-0.0001003565896067,0.0170195912083998,-0.0170195912083998,0.0101169631111829,-0.0101169631111829,5.28535470889131,-5.28535470889131,1,0,0,0,0,1,0
1.6,24.7585454728,310.630694019924,108496.408719987,1105003.59128001,0.0169928174399749,0.0100071825600242,-0.017740607851051,-5.34669012490553e-08,9.55504677647336e-07,4.94456456268776e-06,4.94456456265365e-06,16.818470800537,0.0400737915625418,-0.0400737915625418,0.000170506346494,-0.000170506346494,0.0001005585652984,-0.0001005585652984,0.0170506164450344,-0.0170506164450344,0.010148060573244,-0.010148060573244,4.33418261190808,-4.33418261190808,1,0,0,0,0,1,0
1.8,24.8487296700054,310.950027613945,108496.395470225,1105003.60452977,0.0169927909404502,0.0100072090595501,-0.005864442865659,6.66571292869474e-07,1.31313007697543e-06,-1.01348833565646e-05,-1.01348833565465e-05,17.4065584774391,0.0399989991543574,-0.0399989991543574,0.0001702571856297,-0.0001702571856297,0.0001003077502284,-0.0001003077502284,0.0170276110470114,-0.0170276110470114,0.0101251084657664,-0.0101251084657664,3.42244326144828,-3.42244326144828,0,0,0,0,0,1,0
