time,I_cell,T_stack,P_ano,P_cat,m_dot_Osep,m_dot_Hsep,ARR1,ARR2,ARR3,ARR4,ARR5,ARR6,a1_upper,a1_lower,a2_upper,a2_lower,a3_upper,a3_lower,a4_upper,a4_lower,a5_upper,a5_lower,a6_upper,a6_lower,activation_arr1,activation_arr2,activation_arr3,activation_arr4,activation_arr5,activation_arr6,Fault_type
0.0,26.0418737242644,312.0665380002,108496.202700205,1105003.7972998,0.0169924054004099,0.0100075945995901,-0.0089283753121233,1.27977948282709e-06,1.40357644631586e-06,2.06193093776504e-05,2.06193093777065e-05,-0.109771267154978,0.0407027386985565,-0.0407027386985565,0.0001709946284447,-0.0001709946284447,0.0001010198211329,-0.0001010198211329,0.0170898577582135,-0.0170898577582135,0.0101881304979892,-0.0101881304979892,3.08899782512923,-3.08899782512923,0,0,0,0,0,0,7
0.2,26.0277868685316,312.018768696396,108496.22387503,1105003.77612497,0.0169924477500604,0.0100075522499397,0.0055935304891046,2.38834984935515e-06,2.14702094037831e-06,-1.26964153053192e-05,-1.27573441068559e-05,1.88114345271128,0.0404850744571129,-0.0404850744571129,0.000170313298003,-0.000170313298003,0.0001003701316578,-0.0001003701316578,0.0170214683831403,-0.0170214683831403,0.0101201576693223,-0.0101201576693223,3.32194956137902,-3.32194956137902,0,0,0,0,0,0,7
0.4,26.0174075532258,311.983566449255,108496.225400048,1105003.77459995,0.0169924508000953,0.0100075491999047,0.0054872016850876,1.07248073569361e-07,3.04992028494024e-07,-1.24761667053951e-05,-1.29179871227331e-05,0.921210826065688,0.0402713565378823,-0.0402713565378823,0.0001696397380469,-0.0001696397380469,9.97035842466054e-05,-9.97035842466054e-05,0.0169546151637632,-0.0169546151637632,0.0100547876257967,-0.0100547876257967,3.23040889566274,-3.23040889566274,0,0,0,0,0,0,7
0.6,26.0097596731783,311.957625153532,108496.226523737,1105003.77347626,0.0169924530474743,0.0100075469525257,-0.004267600621944,-1.4560501815589e-06,-1.68003418388223e-07,9.70731535944488e-06,8.35203398974856e-06,-0.422412200163415,0.0406258609694284,-0.0406258609694284,0.0001708613855339,-0.0001708613855339,0.0001009377887152,-0.0001009377887152,0.0170656387171248,-0.0170656387171248,0.0101682364671484,-0.0101682364671484,3.41671605518443,-3.41671605518443,0,0,0,0,0,0,7
0.8,26.0041242551876,311.938508459171,108496.227351738,1105003.77264826,0.0169924547034761,0.010007545296524,0.005246429058266,1.53252407331672e-06,4.30764303683144e-06,-1.20134999753637e-05,-1.49364702033152e-05,2.44654424161881,0.0407370106976743,-0.0407370106976743,0.0001710220053778,-0.0001710220053778,0.0001011139579711,-0.0001011139579711,0.0171005779878462,-0.0171005779878462,0.0102064654539004,-0.0102064654539004,2.77379961081934,-2.77379961081934,0,0,0,0,0,0,7
1.0,25.999971650677,311.924420962639,108496.227961871,1105003.77203813,0.0169924559237428,0.0100075440762572,0.0166488059275384,1.88771098493352e-06,6.81048659877363e-06,-3.80905718416011e-05,-4.32865089646046e-05,4.9083609686416,0.0405517781010886,-0.0405517781010886,0.0001704975510419,-0.0001704975510419,0.0001006095318673,-0.0001006095318673,0.0170423707954538,-0.0170423707954538,0.0101523065064465,-0.0101523065064465,3.09248407972476,-3.09248407972476,0,0,0,0,0,0,7
1.2,25.9969116472059,311.914039590269,108496.228411471,1105003.77158853,0.0169924568229417,0.0100075431770583,0.0159183093420236,1.1430717041668e-08,7.92877604792393e-06,-3.63871476061173e-05,-4.4556131412466e-05,5.75561106510527,0.0406247394987035,-0.0406247394987035,0.0001706380067629,-0.0001706380067629,0.0001007737963575,-0.0001007737963575,0.0170652633895581,-0.0170652633895581,0.0101798742419486,-0.0101798742419486,2.68565042240176,-2.68565042240176,0,0,0,0,0,1,7
1.4,25.9946567416234,311.906389339736,108496.228742779,1105003.77125722,0.0169924574855578,0.0100075425144422,0.018729289211331,5.67504928474011e-07,1.20836920428565e-05,-4.27902743430495e-05,-5.45815044555657e-05,8.51062842091123,0.0404596976275486,-0.0404596976275486,0.0001701921374998,-0.0001701921374998,0.0001003535178746,-0.0001003535178746,0.0170135179600111,-0.0170135179600111,0.0101332765998524,-0.0101332765998524,2.99677005169265,-2.99677005169265,0,0,0,0,0,1,7
1.6,25.9929950954161,311.900751710586,108496.228986921,1105003.77101308,0.0169924579738413,0.0100075420261587,0.0131447891117919,-7.58775743841719e-07,1.50190026440496e-05,-3.00274183121511e-05,-4.60017504725032e-05,10.0615705082866,0.0405362548909956,-0.0405362548909956,0.000170362406498,-0.000170362406498,0.0001005514252087,-0.0001005514252087,0.0170374978124152,-0.0170374978124152,0.0101627036980551,-0.0101627036980551,2.70304277793576,-2.70304277793576,0,0,0,0,0,1,7
1.8,25.9917706158893,311.896597224405,108496.22916683,1105003.77083317,0.0169924583336609,0.0100075416663391,0.012866996801244,4.83770358829199e-08,2.04632705420004e-05,-2.93747978822711e-05,-4.99740951297911e-05,13.4610595096035,0.0404693481397463,-0.0404693481397463,0.0001701451711295,-0.0001701451711295,0.000100361807374,-0.000100361807374,0.0170165391075154,-0.0170165391075154,0.0101473037384655,-0.0101473037384655,2.70737158042638,-2.70737158042638,0,0,0,0,0,1,7
