time,I_cell,T_stack,P_ano,P_cat,m_dot_Osep,m_dot_Hsep,ARR1,ARR2,ARR3,ARR4,ARR5,ARR6,a1_upper,a1_lower,a2_upper,a2_lower,a3_upper,a3_lower,a4_upper,a4_lower,a5_upper,a5_lower,a6_upper,a6_lower,activation_arr1,activation_arr2,activation_arr3,activation_arr4,activation_arr5,activation_arr6,Fault_type
0.0,42.4760923715076,312.182570990515,108493.891811641,1105006.10818836,0.0169877836232819,0.0100122163767181,0.0055127486823288,2.01368398513108e-07,1.25854774108013e-07,-1.3099631093901e-05,-1.30996310939999e-05,-0.110663798645342,0.0499439143844775,-0.0499439143844775,0.0001705564865795,-0.0001705564865795,0.0001007250482159,-0.0001007250482159,0.017053633887122,-0.017053633887122,0.0101612010207021,-0.0101612010207021,3.93224916058387,-3.93224916058387,0,0,0,0,0,0,9
0.2,42.5562116065147,312.341084961354,108493.826456965,1105006.17354304,0.0169876529139302,0.0100123470860699,0.0098927898319304,5.22038161196646e-07,1.06106396000666e-06,-2.48870661648207e-05,-2.48870661648643e-05,1.92985230653815,0.049414857244158,-0.049414857244158,0.0001692334219577,-0.0001692334219577,9.93180066662724e-05,-9.93180066662724e-05,0.0168814021954711,-0.0168814021954711,0.0099892321855576,-0.0099892321855576,4.19916586921249,-4.19916586921249,0,0,0,0,0,0,9
0.4,42.61549671492,312.458302534359,108493.817748068,1105006.18225193,0.0169876354961357,0.0100123645038643,-0.0111895029076981,-3.59816123781678e-06,-2.95885813036941e-06,2.39350780476465e-05,2.39350780476295e-05,5.80133859753226,0.0495868984892575,-0.0495868984892575,0.0001696075833155,-0.0001696075833155,9.96974057033591e-05,-9.96974057033591e-05,0.0169459296890647,-0.0169459296890647,0.0100537947063359,-0.0100537947063359,5.33675899912401,-5.33675899912401,0,0,0,0,0,0,9
0.6,42.6593580728335,312.544982674851,108493.811304846,1105006.18869515,0.0169876226096925,0.0100123773903076,-0.0181497775029501,-1.05314243321365e-06,-4.85494502177861e-07,3.53914349932479e-05,3.53914349932565e-05,14.7840421097568,0.0495882626972605,-0.0495882626972605,0.0001695213423111,-0.0001695213423111,9.96105960438407e-05,-9.96105960438407e-05,0.0169518658914313,-0.0169518658914313,0.0100597568233398,-0.0100597568233398,4.52183266326427,-4.52183266326427,0,0,0,0,0,0,9
0.8,42.6918043586757,312.609081157274,108493.806538468,1105006.19346153,0.0169876130769352,0.0100123869230648,-0.022305836951785,-6.33279191062471e-07,-1.34876108359364e-07,4.11109527705171e-05,4.11109527705325e-05,17.0625735329471,0.0495202939706227,-0.0495202939706227,0.0001693142520067,-0.0001693142520067,9.94029549063449e-05,-9.94029549063449e-05,0.0169262259500391,-0.0169262259500391,0.0100341360523224,-0.0100341360523224,3.86549630367926,-3.86549630367926,0,0,0,0,0,1,9
1.0,42.7158042020151,312.656480991087,108493.803012861,1105006.19698714,0.0169876060257222,0.0100123939742779,-0.0267346137484546,-1.07204013427472e-06,-5.77503512222061e-07,5.3393097032481e-05,5.33930970325235e-05,7.78776886726749,0.0498495551062258,-0.0498495551062258,0.0001704505205255,-0.0001704505205255,0.0001005398941179,-0.0001005398941179,0.0170221715585447,-0.0170221715585447,0.0101300958408175,-0.0101300958408175,3.82863761471694,-3.82863761471694,0,0,0,0,0,1,9
1.2,42.7335551954523,312.691532488708,108493.80040521,1105006.19959479,0.0169876008104199,0.0100123991895801,-0.0177760380639787,1.41405960116139e-06,1.72759105282732e-06,3.0001047578332e-05,3.00010475783525e-05,23.0143886577893,0.0494520975489487,-0.0494520975489487,0.0001693704043732,-0.0001693704043732,9.9458708097068e-05,-9.9458708097068e-05,0.0169102081197466,-0.0169102081197466,0.0100181428899922,-0.0100181428899922,4.5457606594765,-4.5457606594765,0,0,0,0,0,1,9
1.4,42.7466837037569,312.717452599073,108493.798476605,1105006.20152339,0.0169875969532104,0.0100124030467896,-0.0304517086041369,-1.61981056676584e-06,-1.23004396436953e-06,5.12204463695594e-05,5.12204463696132e-05,41.7600653693691,0.0501049050409141,-0.0501049050409141,0.0001720702386556,-0.0001720702386556,0.0001021597211995,-0.0001021597211995,0.017148402848059,-0.017148402848059,0.0102563453751529,-0.0102563453751529,7.56460177631527,-7.56460177631527,0,0,0,0,0,1,9
1.6,42.7563930992501,312.73662018815,108493.797050273,1105006.20294973,0.0169875941005452,0.0100124058994547,-0.0104867230780904,4.3131348482496e-06,4.32058023018623e-06,-1.30643237401706e-05,-1.30643237401077e-05,61.3261299427937,0.0498315949679366,-0.0498315949679366,0.0001708248666109,-0.0001708248666109,0.0001009122243475,-0.0001009122243475,0.0170616194029771,-0.0170616194029771,0.0101695676667806,-0.0101695676667806,3.9430945610469,-3.9430945610469,0,0,0,0,0,1,9
1.8,42.763573641496,312.750794383434,108493.795995433,1105006.20400457,0.0169875919908661,0.0100124080091339,-0.0073898964591263,1.02646136847555e-06,9.20093788666556e-07,-2.75579513014134e-05,-2.75579513013595e-05,58.3334173936088,0.0494375993487811,-0.0494375993487811,0.0001695090498465,-0.0001695090498465,9.95971586300052e-05,-9.95971586300052e-05,0.0169154765967327,-0.0169154765967327,0.0100234291031009,-0.0100234291031009,6.0605694114353,-6.0605694114353,0,0,0,0,0,1,9
2.0,42.768883874787,312.761276030667,108493.795215346,1105006.20478465,0.0169875904306916,0.0100124095693084,-0.0197558460221562,-2.62801869275843e-06,-2.53617213775735e-06,1.0893493674106e-05,1.08934936741441e-05,32.5855673228395,0.049324289553754,-0.049324289553754,0.0001686304064583,-0.0001686304064583,9.8719750157371e-05,-9.8719750157371e-05,0.0168473350040442,-0.0168473350040442,0.0099552906479234,-0.0099552906479234,6.83926528262054,-6.83926528262054,0,0,0,0,0,1,9
2.2,42.7728108986128,312.769027085662,108493.794638455,1105006.20536154,0.0169875892769105,0.0100124107230895,-0.0379450762734317,-3.41904442993672e-06,-3.05936113995212e-06,5.91302965880567e-05,5.91302965880496e-05,53.3616407229777,0.0498168951548174,-0.0498168951548174,0.0001709935278117,-0.0001709935278117,0.0001010835113867,-0.0001010835113867,0.0170498353073678,-0.0170498353073678,0.0101577932715009,-0.0101577932715009,8.79723089495588,-8.79723089495588,0,0,0,0,0,1,9
2.4,42.7757149795899,312.774758901258,108493.794211838,1105006.20578816,0.0169875884236752,0.0100124115763248,-0.0304503896047681,2.22553015931132e-06,2.39541129893278e-06,2.47237686195575e-05,2.47237686195956e-05,91.1716079502291,0.0495682677336452,-0.0495682677336452,0.0001700771752636,-0.0001700771752636,0.0001001654351714,-0.0001001654351714,0.0169950152484101,-0.0169950152484101,0.0101029749283993,-0.0101029749283993,5.69318750647248,-5.69318750647248,0,0,0,0,0,1,9
2.6,42.7778625647606,312.778997513463,108493.793896351,1105006.20610365,0.0169875877927023,0.0100124122072977,-0.0358941460658523,2.70844461734584e-07,4.00371222819138e-07,1.97260421943721e-05,1.97260421944088e-05,109.869750720734,0.0497148388419661,-0.0497148388419661,0.0001706318828784,-0.0001706318828784,0.0001007206382533,-0.0001007206382533,0.0170503330768274,-0.0170503330768274,0.0101582940257031,-0.0101582940257031,4.69996719480755,-4.69996719480755,0,0,0,0,0,1,9
2.8,42.779450707285,312.782131919249,108493.793663048,1105006.20633695,0.0169875873260968,0.0100124126739032,-0.0304236432552142,1.44742174576331e-06,1.45132507969027e-06,-1.85739802405129e-06,-1.85739802404044e-06,103.402325372615,0.0497942043282749,-0.0497942043282749,0.0001705235328287,-0.0001705235328287,0.0001006118283814,-0.0001006118283814,0.0170526863758345,-0.0170526863758345,0.0101606482630539,-0.0101606482630539,5.75548987456593,-5.75548987456593,0,0,0,0,0,1,9
3.0,42.7806251359242,312.78444977712,108493.793490521,1105006.20650948,0.0169875869810427,0.0100124130189573,-0.01889135943702,1.06807958704622e-06,9.794336631249e-07,-1.71027376462036e-05,-1.71027376462294e-05,66.222129993592,0.0495379673403235,-0.0495379673403235,0.0001695074402761,-0.0001695074402761,9.95956981582772e-05,-9.95956981582772e-05,0.0169182381031519,-0.0169182381031519,0.010026200684275,-0.010026200684275,8.97484163446198,-8.97484163446198,0,0,0,0,0,1,9
3.2,42.7814936210249,312.786163807112,108493.793362938,1105006.20663706,0.0169875867258766,0.0100124132741234,-0.0298562940927603,-2.33793785515788e-06,-2.24097084302909e-06,1.69908235037566e-05,1.69908235037347e-05,95.7847355459187,0.0495620876221914,-0.0495620876221914,0.0001699578081699,-0.0001699578081699,0.0001000471972298,-0.0001000471972298,0.0169811816826189,-0.0169811816826189,0.010089144776881,-0.010089144776881,8.95855118254664,-8.95855118254664,0,0,0,0,0,1,9
3.4,42.7821358605975,312.787431313208,108493.793268591,1105006.20673141,0.0169875865371828,0.0100124134628172,-0.0384710966945961,-1.98882052468866e-07,-8.45045809536086e-08,1.91008589195121e-05,1.91008589195165e-05,143.043484972406,0.0493202716324901,-0.0493202716324901,0.000169479859231,-0.000169479859231,9.95687165472238e-05,-9.95687165472238e-05,0.0169384412102127,-0.0169384412102127,0.0100464046839381,-0.0100464046839381,6.65882691718366,-6.65882691718366,0,0,0,0,0,1,9
3.6,42.7826107920974,312.788368619894,108493.793198823,1105006.20680118,0.0169875863976451,0.0100124136023549,-0.0540454936875801,-1.14122324240455e-06,-9.40729040414518e-07,3.46026241116374e-05,3.4602624111671e-05,165.872755031734,0.0496859574218709,-0.0496859574218709,0.0001710016237347,-0.0001710016237347,0.0001010908444432,-0.0001010908444432,0.0170686150037851,-0.0170686150037851,0.0101765787581208,-0.0101765787581208,5.35982846733104,-5.35982846733104,0,0,0,0,0,1,9
3.8,42.7829620000284,312.789061747803,108493.793147229,1105006.20685277,0.0169875862944581,0.0100124137055419,-0.044756402520469,2.17281698374272e-06,2.19380831782174e-06,2.08967909736286e-06,2.0896790974219e-06,154.70472565504,0.0496599721016815,-0.0496599721016815,0.0001703469205611,-0.0001703469205611,0.0001004350566774,-0.0001004350566774,0.0170246411403497,-0.0170246411403497,0.0101326051021944,-0.0101326051021944,7.07090365291938,-7.07090365291938,0,0,0,0,0,1,9
