time,I_cell,T_stack,P_ano,P_cat,m_dot_Osep,m_dot_Hsep,ARR1,ARR2,ARR3,ARR4,ARR5,ARR6,a1_upper,a1_lower,a2_upper,a2_lower,a3_upper,a3_lower,a4_upper,a4_lower,a5_upper,a5_lower,a6_upper,a6_lower,activation_arr1,activation_arr2,activation_arr3,activation_arr4,activation_arr5,activation_arr6,Fault_type
0.0,20.7305374944459,312.56594711381,108496.897785851,1105003.10221415,0.016993795571702,0.010006204428298,-0.0214139099298861,-2.80050499711745e-06,-2.50560034890688e-06,5.22293941892427e-05,5.22293941892119e-05,-3.25870165561272,0.0373532410684008,-0.0373532410684008,0.0001705998195846,-0.0001705998195846,0.0001005028178096,-0.0001005028178096,0.0170246360756799,-0.0170246360756799,0.0101201131809872,-0.0101201131809872,3.5916689381368,-3.5916689381368,0,0,0,0,0,0,8
0.2,20.6755123640953,312.322561343844,108497.000158698,1105002.9998413,0.0169940003173957,0.0100059996826043,-0.0123047880799359,1.94928566242714e-06,9.75683145726149e-07,3.04507107737831e-05,3.04507107737388e-05,0.18053231810398,0.0372047076228002,-0.0372047076228002,0.0001698101819464,-0.0001698101819464,9.98579966856573e-05,-9.98579966856573e-05,0.0169791625720523,-0.0169791625720523,0.0100742279337696,-0.0100742279337696,3.62419043579617,-3.62419043579617,0,0,0,0,0,0,8
0.4,20.634998039109,312.143248659061,108497.006111609,1105002.99388839,0.0169940122232183,0.0100059877767815,-0.012990090319183,2.98126780537746e-07,-3.59260592965698e-07,3.09058998725323e-05,3.09058998724877e-05,-1.60101284431157,0.037661213706512,-0.037661213706512,0.0001714565234114,-0.0001714565234114,0.0001014992271026,-0.0001014992271026,0.0171196794344824,-0.0171196794344824,0.0102147208535902,-0.0102147208535902,2.80349642313195,-2.80349642313195,0,0,0,0,0,0,8
0.6,20.6051563514462,312.011111795057,108497.010496272,1105002.98950373,0.0169940209925439,0.0100059790074563,0.0074074615379915,3.41646427120895e-06,2.7622371735279e-06,-1.50993711293362e-05,-1.5099371129339e-05,1.23393790630924,0.0372690883255292,-0.0372690883255292,0.0001701992828021,-0.0001701992828021,0.000100241284458,-0.000100241284458,0.016998990171549,-0.016998990171549,0.0100940139555434,-0.0100940139555434,3.82194065550681,-3.82194065550681,0,0,0,0,0,0,8
0.8,20.5831664406743,311.913709160625,108497.013727201,1105002.9862728,0.0169940274544016,0.0100059725455984,0.0031692406058682,-3.82810822805987e-07,-8.17887677063866e-07,-6.15923048604721e-06,-6.15923048602587e-06,-1.08064947034715,0.0369982791634744,-0.0369982791634744,0.0001692759265274,-0.0001692759265274,9.93188312227431e-05,-9.93188312227431e-05,0.0169164104023465,-0.0169164104023465,0.0100114211915448,-0.0100114211915448,3.30786595984209,-3.30786595984209,0,0,0,0,0,0,8
1.0,20.5669541300234,311.841880040648,108497.016109182,1105002.98389082,0.0169940322183633,0.0100059677816368,-0.0120871742919801,-2.16806392206307e-06,-2.29270179978864e-06,2.70546636884863e-05,2.70546636884648e-05,-3.5579772740306,0.0375290125816563,-0.0375290125816563,0.0001710993354912,-0.0001710993354912,0.0001011426147842,-0.0001011426147842,0.017078671970646,-0.017078671970646,0.0101736731795175,-0.0101736731795175,3.38278367948605,-3.38278367948605,0,0,0,0,0,0,8
1.2,20.5549937635223,311.788879508536,108497.017866395,1105002.9821336,0.0169940357327902,0.0100059642672098,0.0019886070584482,2.20001992636382e-06,1.9920503944793e-06,-4.15858279646483e-06,-4.15858279652721e-06,-0.455100691621773,0.0372842676270183,-0.0372842676270183,0.0001701314239116,-0.0001701314239116,0.0001001735433262,-0.0001001735433262,0.0170036711443308,-0.0170036711443308,0.0100986652856897,-0.0100986652856897,3.07381032979518,-3.07381032979518,0,0,0,0,0,0,8
1.4,20.5461628687524,311.749741414591,108497.019163776,1105002.98083622,0.0169940383275522,0.0100059616724479,0.0002306233372975,-1.87423465352494e-07,-3.22404897102123e-07,-3.62511372993842e-07,-3.62511373031426e-07,-1.70755038858137,0.0373657586993234,-0.0373657586993234,0.0001702550648002,-0.0001702550648002,0.0001002976372504,-0.0001002976372504,0.0170285855379003,-0.0170285855379003,0.010123574461193,-0.010123574461193,2.2602220739094,-2.2602220739094,0,0,0,0,0,0,8
1.6,20.5396354571851,311.720809327988,108497.020122693,1105002.97987731,0.0169940402453864,0.0100059597546136,0.0027828264771521,4.43334664796723e-07,3.17638578906556e-07,-6.02855312245007e-06,-6.02855312247651e-06,-1.15503266868849,0.0372233318151064,-0.0372233318151064,0.0001698660892782,-0.0001698660892782,9.99085561633148e-05,-9.99085561633148e-05,0.0169850883647403,-0.0169850883647403,0.0100800734312683,-0.0100800734312683,2.68293094110545,-2.68293094110545,0,0,0,0,0,0,8
1.8,20.5348036318484,311.69939115564,108497.020832469,1105002.97916753,0.0169940416649376,0.0100059583350623,-0.0020289007346238,-6.87663385486011e-07,-7.27739997856874e-07,4.5102335125361e-06,4.51023351251998e-06,-2.07560220130176,0.0374921884721939,-0.0374921884721939,0.0001707855765247,-0.0001707855765247,0.0001008283118052,-0.0001008283118052,0.0170672843419816,-0.0170672843419816,0.0101622665537921,-0.0101622665537921,2.84939146251779,-2.84939146251779,0,0,0,0,0,0,8
